State,Value
5836,10
14593,10
14611,-10
14665,-10
14827,-10
16771,10
14584,10
1462,10
18991,-10
5869,-10
19045,-10
5923,-10
19207,-10
6085,-10
12403,10
5842,10
14617,-10
14671,-10
14833,-10
16777,0
14590,10
1468,10
19063,-10
5941,-10
19225,-10
6103,-10
12421,-10
5860,-10
14689,-10
14851,-10
16795,-10
14608,-10
1486,-10
19279,-10
6157,-10
12475,10
5914,10
14905,-10
16849,0
14662,0
1540,0
12637,10
6076,10
17011,0
14824,0
1702,0
16768,10
3646,0
12394,10
8020,10
1459,10
17509,10
17527,-10
17581,-10
17743,-10
18229,10
17500,10
4378,0
17533,-10
17587,-10
17749,-10
18235,10
17506,10
4384,10
17605,-10
17767,-10
18253,10
17524,10
4402,-10
17821,-10
18307,10
17578,10
4456,10
18469,10
17740,10
4618,0
18226,10
5104,10
10936,0
4375,10
13126,-10
13132,10
13150,-10
13204,0
13366,0
13852,10
15310,0
13123,10
1,0
1364,10
2822,10
8654,-10
12299,10
11570,10
7196,-10
635,10
1607,-10
6224,-10
18617,10
17888,10
4766,-10
5252,10
12542,-10
11084,-10
4523,10
14972,-10
13514,-10
14000,10
15458,10
13271,10
149,-10
12137,10
5576,10
14324,-10
1202,-10
4118,-10
15782,-10
2660,-10
7034,10
473,10
1769,-10
18536,10
5414,10
11246,10
4685,10
14162,-10
17078,-10
15620,-10
13433,-10
311,-10
3632,-10
16268,-10
3146,-10
8006,-10
11894,10
7520,-10
959,-10
16673,10
16592,10
3470,-10
12218,10
7844,-10
1283,10
11732,10
5171,10
16106,-10
13919,10
797,-10
9464,-10
10436,-10
8978,-10
2417,-10
10760,-10
9302,-10
2741,10
3713,-10
15377,10
2255,-10
6791,10
7115,-10
8087,-10
11003,10
6629,-10
68,-10
12353,0
5792,0
14540,-10
1418,-10
10895,0
4334,0
15998,-10
2876,-10
8708,0
11624,0
7250,0
689,0
12839,10
6278,10
15026,-10
1904,-10
16970,-10
3848,-10
12596,10
8222,0
1661,0
17942,-10
4820,-10
18428,-10
5306,-10
11138,0
4577,0
13325,-10
203,-10
17186,-10
4064,-10
8438,10
1877,10
18644,-10
5522,-10
11354,10
4793,10
13541,-10
419,-10
16700,-10
3578,-10
12326,0
7952,-10
1391,-10
11840,0
5279,0
14027,-10
905,-10
10868,0
9410,-10
2849,-10
10382,-10
3821,-10
15485,-10
2363,-10
7223,0
8195,10
11111,10
6737,0
176,0
13001,0
6440,0
17375,10
15188,10
2066,0
17294,10
4172,0
12920,0
8546,0
1985,0
18833,10
18104,10
4982,0
18752,10
5630,0
11462,0
4901,0
13730,10
14378,-10
15836,-10
13649,10
527,0
4226,10
12974,0
8600,-10
2039,10
5684,10
11516,0
4955,10
14432,10
15890,10
13703,10
581,10
12164,0
5603,10
16538,-10
14351,10
1229,-10
10706,-10
4145,10
15809,10
2687,-10
8519,0
11435,0
7061,-10
500,10
19076,-10
5954,-10
19238,-10
6116,-10
12434,0
5873,0
14702,-10
14864,-10
16808,-10
14621,-10
1499,-10
19292,-10
6170,-10
12488,-10
5927,-10
14918,-10
16862,10
14675,10
1553,-10
12650,10
6089,10
17024,-10
14837,-10
1715,-10
16781,10
3659,-10
12407,10
8033,-10
1472,-10
17618,-10
17780,-10
18266,-10
17537,-10
4415,-10
17834,-10
18320,10
17591,10
4469,-10
18482,-10
17753,-10
4631,-10
18239,10
5117,0
10949,0
4388,0
13163,-10
13217,10
13379,-10
13865,-10
15323,-10
13136,10
14,-10
12281,0
5720,0
14468,-10
1346,-10
2804,10
10823,10
8636,10
11552,0
7178,0
617,10
1832,10
3776,10
12767,10
12524,10
8150,10
1589,10
4748,10
18599,10
18356,10
5234,0
11066,0
4505,10
13496,10
13982,-10
15440,10
13253,10
131,10
12119,0
5558,0
14306,-10
1184,-10
4100,-10
15764,-10
2642,-10
8474,-10
11390,0
7016,-10
455,-10
17141,10
17060,10
3938,-10
12686,10
8312,-10
1751,10
18518,10
5396,0
11228,0
4667,10
14144,-10
15602,-10
13415,10
293,-10
10175,10
3614,10
16250,-10
3128,-10
7988,10
11876,0
7502,0
941,0
16574,-10
3452,-10
12200,0
7826,0
1265,0
11714,0
5153,0
16088,-10
13901,-10
779,-10
9446,10
10418,-10
8960,-10
2399,-10
10742,10
9284,10
2723,10
10256,-10
3695,10
15359,10
2237,-10
6773,0
7097,10
8069,10
10985,0
6611,0
50,10
17204,-10
4082,-10
12830,10
8456,-10
1895,-10
18662,-10
5540,-10
11372,0
4811,0
13559,-10
437,-10
16718,-10
3596,-10
12344,0
7970,0
1409,0
11858,0
5297,0
14045,-10
923,-10
10886,0
9428,0
2867,0
10400,-10
3839,-10
15503,-10
2381,-10
7241,0
8213,0
11129,0
6755,0
194,0
4244,10
12992,0
8618,0
2057,10
18824,10
5702,0
11534,0
4973,0
14450,-10
15908,10
13721,10
599,0
12182,0
5621,0
16556,-10
14369,-10
1247,-10
10724,0
4163,10
15827,10
2705,0
8537,0
11453,0
7079,0
518,0
6188,10
12506,0
5945,10
14936,10
16880,10
14693,10
1571,10
12668,10
6107,10
17042,-10
14855,10
1733,-10
16799,10
3677,-10
12425,10
8051,0
1490,10
17852,10
18338,10
17609,10
4487,0
18500,-10
17771,10
4649,0
18257,10
5135,0
10967,0
4406,0
13235,10
13397,-10
13883,-10
15341,-10
13154,10
32,0
12065,0
5504,0
16439,10
14252,10
1130,0
2588,10
8420,-10
11336,0
6962,-10
401,10
3992,10
12740,10
8366,-10
1805,10
18572,10
5450,0
11282,0
4721,10
14198,10
15656,10
13469,10
347,10
3074,10
10121,10
7934,10
11822,0
7448,0
887,10
3506,10
12254,0
7880,0
1319,10
11768,0
5207,0
16142,10
13955,10
833,0
2291,10
8906,10
6719,10
9338,10
7151,10
10310,10
8123,10
11039,0
6665,0
104,10
1841,-10
18608,10
5486,0
12776,-10
11318,-10
4757,0
14234,10
15692,10
13505,10
383,-10
3542,10
12290,10
7916,10
1355,10
11804,0
5243,10
16178,10
13991,10
869,10
2327,10
9374,10
7187,10
8159,-10
11075,0
6701,-10
140,10
12236,0
5675,10
16610,10
14423,10
1301,10
2759,10
10778,10
8591,10
11507,0
7133,0
572,10
12722,-10
6161,10
17096,10
14909,10
1787,-10
3731,10
12479,0
8105,-10
1544,10
18554,10
17825,10
4703,0
18311,10
5189,0
11021,0
4460,0
13451,10
13937,10
15395,10
13208,10
86,0
9959,10
3398,10
16358,10
3236,10
7772,10
11984,0
7610,0
1049,10
16466,-10
3344,-10
12092,0
7718,0
1157,0
11930,0
5369,0
16304,-10
14117,10
995,0
9230,10
10526,-10
9068,-10
2507,10
10634,-10
9176,-10
2615,-10
10472,-10
3911,10
15575,10
2453,-10
6881,0
6989,0
8285,-10
11201,0
6827,-10
266,10
16502,-10
3380,-10
12128,10
7754,10
1193,10
11966,0
5405,10
16340,-10
14153,10
1031,10
10670,-10
9212,-10
2651,-10
3947,-10
15611,10
2489,-10
7025,10
8321,-10
11237,10
6863,-10
302,10
12074,0
5513,0
14261,-10
1139,-10
10616,-10
4055,-10
15719,-10
2597,-10
8429,10
11345,10
6971,0
410,0
17015,10
3893,-10
12641,10
8267,-10
1706,-10
18473,10
5351,0
11183,0
4622,0
14099,-10
15557,-10
13370,10
248,-10
9554,10
2993,10
9662,10
3101,10
9986,10
3425,10
16061,10
2939,10
7367,10
7475,10
7799,10
11687,0
7313,0
752,10
9698,10
3137,10
10022,10
3461,10
16097,10
2975,10
7511,10
7835,10
11723,10
7349,10
788,10
10130,10
3569,10
16205,-10
3083,-10
7943,10
11831,0
7457,0
896,0
16529,10
3407,10
12155,0
7781,0
1220,10
11669,0
5108,0
16043,-10
13856,10
734,0
8825,10
8933,10
9257,10
10229,10
8771,10
2210,10
8969,10
9293,10
10265,-10
